Day,Media,Repeat,Rep,Flow rate,Live yeast/gate,Live yeast (LOG AFU/mL)
Day 1,PBS,A,R1,12.5,663,3.867271019
Day 1,PBS,A,R2,12.5,959,4.027576098
Day 2,PBS,A,R1,12.5,1049,4.066532979
Day 2,PBS,A,R2,12.5,1507,4.223870743
Day 2,PBS,B,R1,12.5,1023,4.055633124
Day 2,PBS,B,R2,12.5,987,4.040074643
Day 2,PBS,C,R1,12.5,1012,4.050938003
Day 2,PBS,C,R2,12.5,1027,4.057327934
Day 3,PBS,A,R1,12.5,1632,4.258477645
Day 3,PBS,A,R2,12.5,2208,4.38975656
Day 3,PBS,B,R1,12.5,1337,4.171888898
Day 3,PBS,B,R2,12.5,1424,4.19926748
Day 1,PBS,A,R1,25,1007,4.048786961
Day 1,PBS,A,R2,25,982,4.037868978
Day 2,PBS,A,R1,25,1424,4.19926748
Day 2,PBS,A,R2,25,1512,4.225309282
Day 2,PBS,B,R1,25,1238,4.138478135
Day 2,PBS,B,R2,25,1349,4.17576944
Day 2,PBS,C,R1,25,1384,4.186893581
Day 2,PBS,C,R2,25,1355,4.177696786
Day 3,PBS,A,R1,25,2288,4.405213511
Day 3,PBS,A,R2,25,2205,4.389166084
Day 3,PBS,B,R1,25,2153,4.37880152
Day 3,PBS,B,R2,25,1976,4.341544431
Day 1,PBS,A,R1,100,1241,4.139529272
Day 1,PBS,A,R2,100,1205,4.126744537
Day 2,PBS,A,R1,100,1699,4.275950869
Day 2,PBS,A,R2,100,1745,4.287552922
Day 2,PBS,B,R1,100,1536,4.232148706
Day 2,PBS,B,R2,100,1522,4.228172143
Day 2,PBS,C,R1,100,1568,4.241103549
Day 2,PBS,C,R2,100,1618,4.254736008
Day 3,PBS,A,R1,100,2732,4.482238186
Day 3,PBS,A,R2,100,2791,4.491517327
Day 3,PBS,B,R1,100,2487,4.441433276
Day 3,PBS,B,R2,100,2500,4.443697499
Day 1,PBS,A,R1,200,1247,4.141623944
Day 1,PBS,A,R2,200,1201,4.125300498
Day 2,PBS,A,R1,200,1679,4.270808187
Day 2,PBS,A,R2,200,1743,4.287054878
Day 2,PBS,B,R1,200,1454,4.208321897
Day 2,PBS,B,R2,200,1444,4.205324684
Day 2,PBS,C,R1,200,1514,4.225883366
Day 2,PBS,C,R2,200,1600,4.249877473
Day 3,PBS,A,R1,200,2716,4.479687256
Day 3,PBS,A,R2,200,2624,4.464721321
Day 3,PBS,B,R1,200,2485,4.441083884
Day 3,PBS,B,R2,200,2433,4.431899599
Day 1,PBS,A,R1,500,1296,4.158362492
