Exp,Date,Brine sample,Grab sample,Method,Dup,Dilution,Plate incubation days,Yeast CFU/plate or AFU/100 uL,Yeast CFU/mL or AFU/mL,Log Yeast CFU/mL or Log AFU/mL
1,14-Jun,A,A,Plate,A,0.025,5,28,1120,3.049218023
1,14-Jun,A,A,Plate,B,0.025,5,34,1360,3.133538908
1,14-Jun,A,B,Plate,A,0.025,5,27,1080,3.033423755
1,14-Jun,A,B,Plate,B,0.025,5,29,1160,3.064457989
1,14-Jun,A,A,FCM,A,0.09,,168,1866.666667,3.271066772
1,14-Jun,A,A,FCM,B,0.09,,167,1855.555556,3.268473962
1,14-Jun,A,B,FCM,A,0.09,,187,2077.777778,3.317599097
1,14-Jun,A,B,FCM,B,0.09,,172,1911.111111,3.281285937
2,21-Jun,A,A,Plate,A,0.025,5,21,840,2.924279286
2,21-Jun,A,A,Plate,B,0.025,5,20,800,2.903089987
2,21-Jun,A,B,Plate,A,0.025,5,11,440,2.643452676
2,21-Jun,A,B,Plate,B,0.025,5,16,640,2.806179974
2,21-Jun,A,A,FCM,A,0.09,,159,1766.666667,3.247154615
2,21-Jun,A,A,FCM,B,0.09,,177,1966.666667,3.293730757
2,21-Jun,A,B,FCM,A,0.09,,171,1900,3.278753601
2,21-Jun,A,B,FCM,B,0.09,,159,1766.666667,3.247154615
3,5-Jul,A,A,Plate,A,0.025,5,14,560,2.748188027
3,5-Jul,A,A,Plate,B,0.025,5,6,240,2.380211242
3,5-Jul,A,B,Plate,A,0.025,5,17,680,2.832508913
3,5-Jul,A,B,Plate,B,0.025,5,19,760,2.880813592
3,5-Jul,A,A,FCM,A,0.09,,107,1188.888889,3.075141268
3,5-Jul,A,A,FCM,B,0.09,,151,1677.777778,3.224734438
3,5-Jul,A,B,FCM,A,0.09,,129,1433.333333,3.156347201
3,5-Jul,A,B,FCM,B,0.09,,142,1577.777778,3.198045835
1,14-Jun,B,A,Plate,A,0.025,5,31,1240,3.093421685
1,14-Jun,B,A,Plate,B,0.025,5,28,1120,3.049218023
1,14-Jun,B,B,Plate,A,0.025,5,27,1080,3.033423755
1,14-Jun,B,B,Plate,B,0.025,5,29,1160,3.064457989
1,14-Jun,B,A,FCM,A,0.09,,42,466.6666667,2.669006781
1,14-Jun,B,A,FCM,B,0.09,,37,411.1111111,2.613959215
1,14-Jun,B,B,FCM,A,0.09,,30,333.3333333,2.522878745
1,14-Jun,B,B,FCM,B,0.09,,47,522.2222222,2.717855348
2,21-Jun,B,A,Plate,A,0.025,5,20,800,2.903089987
2,21-Jun,B,A,Plate,B,0.025,5,27,1080,3.033423755
2,21-Jun,B,B,Plate,A,0.025,5,23,920,2.963787827
2,21-Jun,B,B,Plate,B,0.025,5,30,1200,3.079181246
2,21-Jun,B,A,FCM,A,0.09,,45,500,2.698970004
2,21-Jun,B,A,FCM,B,0.09,,42,466.6666667,2.669006781
2,21-Jun,B,B,FCM,A,0.09,,34,377.7777778,2.577236408
2,21-Jun,B,B,FCM,B,0.09,,29,322.2222222,2.508155488
3,5-Jul,B,A,Plate,A,0.025,5,17,680,2.832508913
3,5-Jul,B,A,Plate,B,0.025,5,21,840,2.924279286
3,5-Jul,B,B,Plate,A,0.025,5,18,720,2.857332496
3,5-Jul,B,B,Plate,B,0.025,5,18,720,2.857332496
3,5-Jul,B,A,FCM,A,0.09,,46,511.1111111,2.708515322
3,5-Jul,B,A,FCM,B,0.09,,35,388.8888889,2.589825535
3,5-Jul,B,B,FCM,A,0.09,,40,444.4444444,2.647817482
3,5-Jul,B,B,FCM,B,0.09,,53,588.8888889,2.77003336
1,14-Jun,C,A,Plate,A,0.025,5,127,5080,3.705863712
1,14-Jun,C,A,Plate,B,0.025,5,147,5880,3.769377326
1,14-Jun,C,B,Plate,A,0.025,5,147,5880,3.769377326
1,14-Jun,C,B,Plate,B,0.025,5,129,5160,3.712649702
1,14-Jun,C,A,FCM,A,0.09,,339,3766.666667,3.575957189
1,14-Jun,C,A,FCM,B,0.09,,337,3744.444444,3.573387391
1,14-Jun,C,B,FCM,A,0.09,,406,4511.111111,3.654283524
1,14-Jun,C,B,FCM,B,0.09,,381,4233.333333,3.626682466
2,21-Jun,C,A,Plate,A,0.025,5,127,5080,3.705863712
2,21-Jun,C,A,Plate,B,0.025,5,100,4000,3.602059991
2,21-Jun,C,B,Plate,A,0.025,5,116,4640,3.666517981
2,21-Jun,C,B,Plate,B,0.025,5,85,3400,3.531478917
2,21-Jun,C,A,FCM,A,0.09,,423,4700,3.672097858
2,21-Jun,C,A,FCM,B,0.09,,414,4600,3.662757832
2,21-Jun,C,B,FCM,A,0.09,,425,4722.222222,3.674146421
2,21-Jun,C,B,FCM,B,0.09,,431,4788.888889,3.680234761
3,5-Jul,C,A,Plate,A,0.025,5,84,3360,3.526339277
3,5-Jul,C,A,Plate,B,0.025,5,67,2680,3.428134794
3,5-Jul,C,B,Plate,A,0.025,5,71,2840,3.45331834
3,5-Jul,C,B,Plate,B,0.025,5,58,2320,3.365487985
3,45478,C,A,FCM,A,0.09,,518,5755.555556,3.76008725
3,45478,C,A,FCM,B,0.09,,460,5111.111111,3.708515322
3,45478,C,B,FCM,A,0.09,,432,4800,3.681241237
3,45478,C,B,FCM,B,0.09,,446,4955.555556,3.695092349
1,14-Jun,D,A,Plate,A,0.025,5,32,1280,3.10720997
1,14-Jun,D,A,Plate,B,0.025,5,48,1920,3.283301229
1,14-Jun,D,B,Plate,A,0.025,5,27,1080,3.033423755
1,14-Jun,D,B,Plate,B,0.025,5,27,1080,3.033423755
1,14-Jun,D,A,FCM,A,0.09,,120,1333.333333,3.124938737
1,14-Jun,D,A,FCM,B,0.09,,108,1200,3.079181246
1,14-Jun,D,B,FCM,A,0.09,,112,1244.444444,3.094975513
1,14-Jun,D,B,FCM,B,0.09,,94,1044.444444,3.018885344
2,21-Jun,D,A,Plate,A,0.025,5,38,1520,3.181843588
2,21-Jun,D,A,Plate,B,0.025,5,16,640,2.806179974
2,21-Jun,D,B,Plate,A,0.025,5,29,1160,3.064457989
2,21-Jun,D,B,Plate,B,0.025,5,21,840,2.924279286
2,21-Jun,D,A,FCM,A,0.09,,117,1300,3.113943352
2,21-Jun,D,A,FCM,B,0.09,,102,1133.333333,3.054357662
2,21-Jun,D,B,FCM,A,0.09,,95,1055.555556,3.023481096
2,21-Jun,D,B,FCM,B,0.09,,114,1266.666667,3.102662342
3,5-Jul,D,A,Plate,A,0.025,5,21,840,2.924279286
